2/7/2024,Águila;Alex;Rama;Juli;Piojo,Dami;Lean B;Facu;Lucho;Pipa,H,6
9/7/2024,Águila;Alex;Rama;Juli;Colo,Dami;Lean B;Facu;Gaby;Pipa,H,7
16/7/2024,Invitado;Alex;Gaby;Lean DP;Lean B,Marc;Facu;Fer Rois;Rama;Dami,A,2,Invitado entra por Águila
23/7/2024,Alex;Pipa;Fer Rois;Dami;Pollo,Marc;Lean DP;Gaby;Juli;Colo,H,1
30/7/2024,Facu;Dami;Fer Rois;Pollo;Colo,Marc;Lean DP;Gaby;Rama;Juli,H,1
6/8/2024,Gaby;Alex;Fer Rois;Juli;Lucho,Lean B;Marc;Rama;Piojo;Pipa,H,6
13/8/2024,Fer Rois;Lean DP;Pipa;Facu;Rama,Lucho;Pollo;Gaby;Dami;Alex,A,5
20/8/2024,Pollo;Tuso;Rama;Nacho;Juli,Alex;Gaby;Lean DP;Pipa;Alexis,H,4
27/8/2024,Lean B;Fer Rois;Juli;Alex;Rama,Pipa;Facu;Dami;Pollo;Tuso,H,3,Tuso jugó lesionado
3/9/2024,Facu;Lean DP;Lucho;Juli;Fer Rois,Alex;Lean B;Pipa;Pollo;Rama,H,1
10/9/2024,Facu;Lean DP;Lucho;Juli;Fer Rois,Alex;Lean B;Pipa;Pollo;Rama,T,0
17/9/2024,Marc;Facu;Lean DP;Pio;Pipa,Pollo;Dami;Rama;Pol;Juli,H,4
24/9/2024,Pipa;Lean B;Marc;Pollo;Rama,Alex;Fer Rois;Facu;Pio;Dami,A,6
1/10/2024,Marc;Facu;Pol;Pipa;Gaby,Alex;Dami;Pollo;Juli;Uri,H,5
8/10/2024,Pollo;Facu;Lean B;Pipa;Dami,Marc;Alex;Juli;Gaby;Rama,T,0
